name,description,category,subcategory,price,available
Apple Tarte Tatin,"Caramelized apples, vanilla bean gelato",desserts,dessert_cake,14.00,true
Chocolate Lava Cake,"Chocolate cake, chocolate ganache, vanilla bean gelato",desserts,dessert_cake,14.00,true
Crème Brulee,"Vanilla bean custard, fresh strawberries",desserts,dessert_cake,14.00,true
Dark Chocolate Marquise,"Gluten free chocolate cake, chocolate mousse, chocolate glaze, chocolate crumble",desserts,dessert_cake,14.00,true
Profiteroles,"Vanilla gelato & Weiss melted chocolate ganache",desserts,dessert_ice_cream,14.00,true
Sorbet,,desserts,dessert_ice_cream,8.00,true
Gelato,,desserts,dessert_ice_cream,8.00,true
Espresso Martini,"Stoli Vanilla Vodka, Coffee Liqueur, Cafe Vergnano Espresso, Served Up",desserts,cocktail_signature,16.00,true
Parc's Spanish Coffee,"151 Rum, Coffee Liqueur, Grand Marnier, Licor 43, Coffee, Licor 43 Whipped Cream, Nutmeg",desserts,cocktail_signature,16.00,true
Sauternes FR,,desserts,wine_white,15.00,true
Chardonnay Dolce Nickel & Nickel Napa,,desserts,wine_white,25.00,true
Moscato D' Asti Michele Chiarlo Nivole,,desserts,wine_white,12.00,true
Riesling Pacific Rim Vin De Glaciere WA,,desserts,wine_white,12.00,true
Royal Tokaji 5 Puttonyos Aszu Hungary,,desserts,wine_white,18.00,true
Fonseca Bin 27 Reserve Ruby Portugal,,desserts,cocktail_classic,12.00,true
Taylor Fladgate LBV Ruby Portugal,,desserts,cocktail_classic,14.00,true
Taylor Fladgate 20yr Tawny Portugal,,desserts,cocktail_classic,18.00,true
Taylor Fladgate 30yr Tawny Portugal,,desserts,cocktail_classic,35.00,true
Taylor Fladgate 40yr Tawny Portugal,,desserts,cocktail_classic,45.00,true
Amaro Meletti,,desserts,cocktail_classic,12.00,true
Amaro Nonino,,desserts,cocktail_classic,14.00,true
Anisette Meletti,,desserts,cocktail_classic,12.00,true
Fernet Branca,,desserts,cocktail_classic,12.00,true
Ricard,,desserts,cocktail_classic,12.00,true
Banfi Grappa,,desserts,cocktail_classic,18.00,true
Green Chartreuse,,desserts,cocktail_classic,16.00,true
Limoncello,,desserts,cocktail_classic,11.00,true
Sambuca Meletti,,desserts,cocktail_classic,11.00,true
Carajillo,,desserts,cocktail_classic,14.00,true
Amaretto,,desserts,cocktail_classic,14.00,true
Benedictine,,desserts,cocktail_classic,14.00,true
Baileys,,desserts,cocktail_classic,14.00,true
Frangelico,,desserts,cocktail_classic,14.00,true
Grand Marnier,,desserts,cocktail_classic,18.00,true
Remy XO,,desserts,cocktail_classic,60.00,true
Remy VSOP,,desserts,cocktail_classic,20.00,true
Martell Cordon Bleu,,desserts,cocktail_classic,25.00,true
Courvoisier VSOP,,desserts,cocktail_classic,20.00,true
Courvoisier XO,,desserts,cocktail_classic,50.00,true
Courvoisier Erte,,desserts,cocktail_classic,165.00,true
Martell XO,,desserts,cocktail_classic,50.00,true
Hennessy VSOP,,desserts,cocktail_classic,18.00,true
Larressingle Armagnac VSOP,,desserts,cocktail_classic,20.00,true
Frapin,,desserts,cocktail_classic,18.00,true
Frapin XO,,desserts,cocktail_classic,36.00,true
Boulard Calvados VSOP,,desserts,cocktail_classic,20.00,true
Torres 15yr,,desserts,cocktail_classic,13.00,true
Balvenie 12yr,,desserts,cocktail_classic,16.00,true
Macallan 12yr,,desserts,cocktail_classic,20.00,true
Macallan 18yr,,desserts,cocktail_classic,60.00,true
Macallan Rare Cask,,desserts,cocktail_classic,60.00,true
Glenfiddich 12yr,,desserts,cocktail_classic,15.00,true
Glenfiddich 15yr,,desserts,cocktail_classic,18.00,true
Highland Park 18yr,,desserts,cocktail_classic,30.00,true
Oban 14yr,,desserts,cocktail_classic,20.00,true
Lagavulin 16yr,,desserts,cocktail_classic,25.00,true
Johnny Walker Black 12yr,,desserts,cocktail_classic,15.00,true
Johnie Walker Blue,,desserts,cocktail_classic,40.00,true
Laphroaig,,desserts,cocktail_classic,18.00,true
Templeton Rye 6yr Parc Bistro Barrel,,desserts,cocktail_classic,12.00,true
Templeton Rye 10yr,,desserts,cocktail_classic,16.00,true
Woodford Reserve,,desserts,cocktail_classic,15.00,true
Basil Hayden,,desserts,cocktail_classic,16.00,true
Gentleman Jack,,desserts,cocktail_classic,13.00,true
Jack Daniels Single Barrel,,desserts,cocktail_classic,18.00,true
High West Campfire,,desserts,cocktail_classic,16.00,true
High West Rendezvous Rye,,desserts,cocktail_classic,20.00,true
High West Midwinter Night's Dram,,desserts,cocktail_classic,40.00,true
High West The Prisoner's Share,,desserts,cocktail_classic,60.00,true
Knob Creek,,desserts,cocktail_classic,16.00,true
Maker's Mark,,desserts,cocktail_classic,15.00,true
Hibiki Japanese Whiskey,,desserts,cocktail_classic,45.00,true
Fuji Single Grain Japanese Whiskey,,desserts,cocktail_classic,35.00,true
Herradura Silver,,desserts,cocktail_classic,15.00,true
Herradura Anejo,,desserts,cocktail_classic,18.00,true
Corralejo Anejo,,desserts,cocktail_classic,20.00,true
Tears of Llorona 5yr Extra Anejo,,desserts,cocktail_classic,50.00,true
Chinaco Anejo,,desserts,cocktail_classic,15.00,true
Casamigos Reposado,,desserts,cocktail_classic,16.00,true
Clase Azul Reposado,,desserts,cocktail_classic,40.00,true
Patron Silver,,desserts,cocktail_classic,15.00,true
Patron Anejo,,desserts,cocktail_classic,18.00,true
Don Julio Anejo,,desserts,cocktail_classic,18.00,true
Xicaru Mezcal,,desserts,cocktail_classic,14.00,true
Pedro San Juan Mezcal,,desserts,cocktail_classic,14.00,true
Lalo Silver,,desserts,cocktail_classic,15.00,true
Gran Centenario Extra Anejo,,desserts,cocktail_classic,45.00,true
Don Julio 1942,,desserts,cocktail_classic,30.00,true
Jose Cuervo La Familia Extra Anejo,,desserts,cocktail_classic,30.00,true
Cazadores Reposado,,desserts,cocktail_classic,12.00,true
