name,description,category,subcategory,price,cost,ingredients,allergens,preparation_time,available,tags,sort_order,portion_size,spice_level,dietary_flags,kitchen_notes,calories,featured
Escargots de Bourgogne,Six snails in garlic herb butter with parsley and white wine,appetizer,Escargots,16.99,6.50,Burgundy snails garlic butter parsley white wine baguette,gluten dairy,8,true,popular chef_special,1,6 pieces,0,,Serve with crushed garlic bread,180,true
Foie Gras Terrine,House-made foie gras with toasted brioche and fig compote,appetizer,Terrines,28.99,12.00,Duck foie gras brioche fig compote cognac black pepper,gluten dairy,5,true,chef_special seasonal,2,3oz portion,0,,Room temperature serving quality presentation,320,true
Soupe à l'Oignon Gratinée,Classic French onion soup with Gruyère cheese crust,appetizer,Soupes,12.99,4.50,Yellow onions beef stock Gruyère cheese white wine thyme,gluten dairy,15,true,popular vegetarian,3,Bowl,0,,Broil cheese until golden,240,false
Plateau de Charcuterie,Selection of French cured meats with cornichons and mustard,appetizer,Charcuterie,22.99,9.00,Saucisson sec jambon de Bayonne pâté cornichons Dijon mustard,gluten,3,true,popular,4,Serves 2-3,0,,Arrange artfully on wooden board,380,false
Salade Niçoise,Traditional Riviera salad with tuna olives and vegetables,appetizer,Salades,15.99,6.50,Mixed greens tuna hard-boiled eggs olives tomatoes anchovies,fish eggs,7,true,healthy gluten_free,5,Entrée portion,0,gluten_free,Anchovies on side if requested,290,false
Moules Marinières,Fresh mussels steamed in white wine and shallots,appetizer,Fruits de Mer,18.99,8.00,Fresh mussels white wine shallots parsley cream garlic,shellfish dairy,12,true,popular,6,1.5 lbs,0,gluten_free,Check mussels are fresh daily,220,true
Coq au Vin,Braised chicken in red wine with mushrooms and pearl onions,main_course,Volaille,26.99,11.50,Free-range chicken red wine mushrooms pearl onions bacon,,25,true,popular chef_special,1,Half chicken,0,gluten_free,Marinate overnight for best flavor,420,true
Boeuf Bourguignon,Slow-braised beef in Burgundy wine with vegetables,main_course,Boeuf,32.99,15.00,Beef chuck Burgundy wine carrots onions mushrooms herbs,,35,true,popular chef_special,2,8oz portion,0,gluten_free,Braise minimum 3 hours,580,true
Bouillabaisse Marseillaise,Traditional Provençal fish stew with rouille and croutons,main_course,Fruits de Mer,38.99,18.50,Mixed fish shellfish tomatoes saffron fennel rouille,fish shellfish gluten eggs,20,true,chef_special seasonal,3,Large bowl,1,,Prepare rouille fresh daily,450,true
Magret de Canard,Pan-seared duck breast with cherry gastrique,main_course,Canard,29.99,13.50,Duck breast cherries port wine shallots duck fat,,18,true,chef_special,4,8oz breast,0,gluten_free,Score skin render fat slowly,510,true
Cassoulet Toulousain,White bean stew with duck confit and Toulouse sausage,main_course,Plats Traditionnels,24.99,10.50,White beans duck confit Toulouse sausage tomatoes herbs,,40,true,popular healthy,5,Large portion,0,gluten_free,Slow cook minimum 2 hours,620,false
Sole Meunière,Dover sole pan-fried in brown butter with lemon,main_course,Poisson,34.99,16.00,Dover sole butter lemon parsley capers,fish dairy,15,true,popular chef_special,6,Whole fish,0,gluten_free,Clarify butter perfectly,380,true
Ratatouille Niçoise,Traditional vegetable stew from Nice with herbs de Provence,main_course,Végétarien,19.99,7.50,Eggplant zucchini tomatoes bell peppers onions herbs,,25,true,vegetarian vegan healthy,7,Generous portion,0,vegetarian vegan gluten_free,Layer vegetables for presentation,180,false
Confit de Canard,Duck leg slowly cooked in its own fat with garlic,main_course,Canard,27.99,12.00,Duck leg duck fat garlic thyme bay leaves,,120,true,popular,8,One leg,0,gluten_free,Confit for 2+ hours at low temp,650,false
Bordeaux Rouge,2019 Château Margaux - Full-bodied red with notes of cassis,beverage,Vin Rouge,89.99,35.00,Cabernet Sauvignon Merlot Petit Verdot,,1,true,popular,1,5oz glass,0,gluten_free,Decant 30 minutes before serving,125,true
Champagne Brut,Dom Pérignon vintage champagne with fine bubbles,beverage,Champagne,24.99,12.00,Chardonnay Pinot Noir,,1,true,popular chef_special,2,5oz flute,0,gluten_free,Serve chilled at 45°F,95,true
Pastis,Traditional anise-flavored aperitif from Marseille,beverage,Apéritifs,12.99,4.50,Star anise licorice herbs,,1,true,popular,3,2oz neat,0,gluten_free,Serve with ice water on side,85,false
